age,gender,education,mental_illbeing_cause_1,mental_illbeing_cause_2,mental_illbeing_mechanism_1,mental_illbeing_mechanism_2,favorite_modern_feature_1,favorite_modern_feature_2,favorite_modern_feature_3,mothers_specific,fathers_specific,children_specific
19,female,14,academics,social_media,stress_from_grades,unrealistic_ideals,more_communication_resources,availability_of_resources,work_culture,societal_pressure,lack_of_support,social_media
20,female,14,academics,social_media,stress_from_grades,unrealistic_ideals,entertainment,advancements_in_tech,societal_pressure,lack_of_support,lack_of_support,social_media
19,female,14,childhood_experiences,social_media,experiences_shape_adults,cyberbullying,family_and_friends,entertainment,mean_people,exhaustion,stress,social_media
31,female,15,mental_health_stigma,covid19_quarantine,not_seeking_help,isolation,removing_stigmas,more_communication_resources,hurting_others_online,worry_for_children,worry_for_family,lack_of_support
17,female,13,academics,issues_at_home,stress_from_grades,familial_expectations,common_youth_culture,mental_health_advocacy,societal_pressure,maintaining_the_household,gender_roles,lack_of_support
22,female,14,tragic_events,genetics,trauma,family_health_history,convenience,more_communication_resources,capitalism,gender_roles,gender_roles,early_internet_access
18,male,13,social_media,academics,unrealistic_ideals,stress_from_grades,entertainment,open_mindedness,college_tuition,gender_roles,expectations,social_media
20,male,15,academics,social_media,stress_from_grades,cyberbullying,more_communication_resources,open_mindedness,capitalism,gender_roles,gender_roles,social_media
21,female,16,family,capitalism,pressure_and_expectations,impacts_of_SES,availability_of_resources,entertainment,violence,lack_of_support,maintaining_the_household,bullying
23,male,14,social_media,covid19_quarantine,cyberbullying,isolation,open_mindedness,removal_of_stigmas,societal_pressure,gender_roles,child_support,cyberbullying